Combination,freq,sumoutput,win,wr,avg out,freqnon,winnon,wrnon,sumnon,freqab,winab,wrab,sumab,freqinv,wininv,wrinv,suminv
BnondefJauhBesarYes,2,-2.44%,0,0%,1,1,0,0.00%,-1.00%,1,0,0.00%,-1.44%,0,0,0.00%,0.00%
BnondefJauhBesarNo,7,13.70%,3,43%,3,3,0,0.00%,-3.48%,2,2,28.57%,6.65%,2,1,14.29%,10.53%
BnondefTdk JauhKecilYes,5,3.37%,2,40%,3,3,1,20.00%,-2.19%,1,1,20.00%,5.81%,1,0,0.00%,-0.25%
BnondefTdk JauhKecilNo,14,28.22%,10,71%,3,3,0,0.00%,-4.80%,4,4,28.57%,5.92%,7,6,42.86%,27.10%
BnondefTdk JauhSedangYes,7,28.49%,5,71%,1,1,0,0.00%,-1.00%,4,3,42.86%,16.58%,2,2,28.57%,12.91%
BnondefTdk JauhSedangNo,28,45.86%,16,57%,11,11,1,3.57%,-10.11%,9,8,28.57%,27.28%,8,7,25.00%,28.69%
BnondefTdk JauhBesarYes,6,2.49%,3,50%,1,1,0,0.00%,-1.00%,3,2,33.33%,2.97%,2,1,16.67%,0.52%
BnondefTdk JauhBesarNo,4,4.35%,2,50%,1,1,0,0.00%,-1.00%,2,2,50.00%,6.50%,1,0,0.00%,-1.15%
BnondefnondefKecilYes,8,15.17%,6,75%,2,2,0,0.00%,-1.26%,2,2,25.00%,5.85%,4,4,50.00%,10.58%
BnondefnondefKecilNo,8,10.91%,4,50%,2,2,0,0.00%,-2.49%,3,2,25.00%,4.60%,3,2,25.00%,8.80%
